sample	unit	lib	platform	fq1	fq2
MZLU107439	AHW5NGDSX2.3	UDP0030	ILLUMINA	../data/fastq_raw/P23564_130_S39_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_130_S39_L003_R2_001.fastq.gz
MZLU107441	AHW5NGDSX2.3	UDP0032	ILLUMINA	../data/fastq_raw/P23564_132_S41_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_132_S41_L003_R2_001.fastq.gz
MZLU107443	AHW5NGDSX2.3	UDP0034	ILLUMINA	../data/fastq_raw/P23564_134_S43_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_134_S43_L003_R2_001.fastq.gz
MZLU107445	AHW5NGDSX2.3	UDP0036	ILLUMINA	../data/fastq_raw/P23564_136_S45_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_136_S45_L003_R2_001.fastq.gz
MZLU107446	AHW5NGDSX2.3	UDP0037	ILLUMINA	../data/fastq_raw/P23564_137_S46_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_137_S46_L003_R2_001.fastq.gz
MZLU107448	AHW5NGDSX2.3	UDP0039	ILLUMINA	../data/fastq_raw/P23564_139_S48_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_139_S48_L003_R2_001.fastq.gz
MZLU107449	AHW5NGDSX2.3	UDP0040	ILLUMINA	../data/fastq_raw/P23564_140_S49_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_140_S49_L003_R2_001.fastq.gz
MZLU107451	AHW5NGDSX2.3	UDP0041	ILLUMINA	../data/fastq_raw/P23564_141_S50_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_141_S50_L003_R2_001.fastq.gz
MZLU107468	AHW5NGDSX2.3	UDP0057	ILLUMINA	../data/fastq_raw/P23564_157_S66_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_157_S66_L003_R2_001.fastq.gz
MZLU107469	AHW5NGDSX2.3	UDP0058	ILLUMINA	../data/fastq_raw/P23564_158_S67_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_158_S67_L003_R2_001.fastq.gz
MZLU107470	AHW5NGDSX2.3	UDP0059	ILLUMINA	../data/fastq_raw/P23564_159_S68_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_159_S68_L003_R2_001.fastq.gz
MZLU107471	AHW5NGDSX2.3	UDP0060	ILLUMINA	../data/fastq_raw/P23564_160_S69_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_160_S69_L003_R2_001.fastq.gz
MZLU107475	AHW5NGDSX2.3	UDP0064	ILLUMINA	../data/fastq_raw/P23564_164_S73_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_164_S73_L003_R2_001.fastq.gz
MZLU107477	AHW5NGDSX2.3	UDP0066	ILLUMINA	../data/fastq_raw/P23564_166_S75_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_166_S75_L003_R2_001.fastq.gz
MZLU107479	AHW5NGDSX2.3	UDP0068	ILLUMINA	../data/fastq_raw/P23564_168_S77_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_168_S77_L003_R2_001.fastq.gz
MZLU107480	AHW5NGDSX2.3	UDP0069	ILLUMINA	../data/fastq_raw/P23564_169_S78_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_169_S78_L003_R2_001.fastq.gz
MZLU107482	AHW5NGDSX2.3	UDP0071	ILLUMINA	../data/fastq_raw/P23564_171_S80_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_171_S80_L003_R2_001.fastq.gz
MZLU107483	AHW5NGDSX2.3	UDP0072	ILLUMINA	../data/fastq_raw/P23564_172_S81_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_172_S81_L003_R2_001.fastq.gz
MZLU107486	AHW5NGDSX2.3	UDP0075	ILLUMINA	../data/fastq_raw/P23564_175_S84_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_175_S84_L003_R2_001.fastq.gz
MZLU107487	AHW5NGDSX2.3	UDP0076	ILLUMINA	../data/fastq_raw/P23564_176_S85_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_176_S85_L003_R2_001.fastq.gz
MZLU107488	AHW5NGDSX2.3	UDP0077	ILLUMINA	../data/fastq_raw/P23564_177_S86_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_177_S86_L003_R2_001.fastq.gz
MZLU107494	AHW5NGDSX2.3	UDP0083	ILLUMINA	../data/fastq_raw/P23564_183_S92_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_183_S92_L003_R2_001.fastq.gz
PLAR0200	BHVYLHDSX3.1	UDP0337	ILLUMINA	../data/fastq_raw/P27468_149_S49_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_149_S49_L001_R2_001.fastq.gz
PLAR0202	BHVYLHDSX3.1	UDP0338	ILLUMINA	../data/fastq_raw/P27468_150_S50_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_150_S50_L001_R2_001.fastq.gz
PLAR0203	BHVYLHDSX3.1	UDP0339	ILLUMINA	../data/fastq_raw/P27468_151_S51_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_151_S51_L001_R2_001.fastq.gz
PLAR0208	BHVYLHDSX3.1	UDP0340	ILLUMINA	../data/fastq_raw/P27468_152_S52_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_152_S52_L001_R2_001.fastq.gz
PLAR0211	BHVYLHDSX3.1	UDP0342	ILLUMINA	../data/fastq_raw/P27468_154_S54_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_154_S54_L001_R2_001.fastq.gz
PLAR0217	BHVYLHDSX3.1	UDP0341	ILLUMINA	../data/fastq_raw/P27468_153_S53_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_153_S53_L001_R2_001.fastq.gz
PLAR0222	BHVYLHDSX3.1	UDP0343	ILLUMINA	../data/fastq_raw/P27468_155_S55_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_155_S55_L001_R2_001.fastq.gz
PLAR0226	BHVYLHDSX3.1	UDP0344	ILLUMINA	../data/fastq_raw/P27468_156_S56_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_156_S56_L001_R2_001.fastq.gz
PI028	AHVF57DSXY.4	UD261	ILLUMINA	../data/fastq_raw/P19606_101_S66_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_101_S66_L004_R2_001.fastq.gz
PI029	AHVF57DSXY.4	UD262	ILLUMINA	../data/fastq_raw/P19606_102_S67_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_102_S67_L004_R2_001.fastq.gz
PI030	AHVF57DSXY.4	UD263	ILLUMINA	../data/fastq_raw/P19606_103_S68_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_103_S68_L004_R2_001.fastq.gz
PI031	AHVF57DSXY.4	UD264	ILLUMINA	../data/fastq_raw/P19606_104_S69_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_104_S69_L004_R2_001.fastq.gz
PI032	AHVF57DSXY.4	UD265	ILLUMINA	../data/fastq_raw/P19606_105_S70_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_105_S70_L004_R2_001.fastq.gz
PI033	AHVF57DSXY.4	UD266	ILLUMINA	../data/fastq_raw/P19606_106_S71_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_106_S71_L004_R2_001.fastq.gz
PI034	AHVF57DSXY.4	UD267	ILLUMINA	../data/fastq_raw/P19606_107_S72_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_107_S72_L004_R2_001.fastq.gz
PI035	AHVF57DSXY.4	UD268	ILLUMINA	../data/fastq_raw/P19606_108_S73_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_108_S73_L004_R2_001.fastq.gz
PI036	AHVF57DSXY.4	UD269	ILLUMINA	../data/fastq_raw/P19606_109_S74_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_109_S74_L004_R2_001.fastq.gz
PI200	AHVF57DSXY.4	UD279	ILLUMINA	../data/fastq_raw/P19606_119_S84_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_119_S84_L004_R2_001.fastq.gz
PI201	AHVF57DSXY.4	UD280	ILLUMINA	../data/fastq_raw/P19606_120_S85_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_120_S85_L004_R2_001.fastq.gz
PI202	AHVF57DSXY.4	UD281	ILLUMINA	../data/fastq_raw/P19606_121_S86_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_121_S86_L004_R2_001.fastq.gz
PI203	AHVF57DSXY.4	UD282	ILLUMINA	../data/fastq_raw/P19606_122_S87_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_122_S87_L004_R2_001.fastq.gz
PI204	AHVF57DSXY.4	UD283	ILLUMINA	../data/fastq_raw/P19606_123_S88_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_123_S88_L004_R2_001.fastq.gz
PI205	AHVF57DSXY.4	UD284	ILLUMINA	../data/fastq_raw/P19606_124_S89_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_124_S89_L004_R2_001.fastq.gz
PI206	AHVF57DSXY.4	UD285	ILLUMINA	../data/fastq_raw/P19606_125_S90_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_125_S90_L004_R2_001.fastq.gz
PI207	AHVF57DSXY.4	UD286	ILLUMINA	../data/fastq_raw/P19606_126_S91_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_126_S91_L004_R2_001.fastq.gz
