sample	unit	lib	platform	fq1	fq2	bam
MZLU107449	AHW5NGDSX2.3	UDP0040	ILLUMINA	../data/fastq_raw/P23564_140_S49_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_140_S49_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107449.ilPleArgu1.3.vg.paired.rmdup.clip.bam
MZLU107451	AHW5NGDSX2.3	UDP0041	ILLUMINA	../data/fastq_raw/P23564_141_S50_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_141_S50_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107451.ilPleArgu1.3.vg.paired.rmdup.clip.bam
MZLU107468	AHW5NGDSX2.3	UDP0057	ILLUMINA	../data/fastq_raw/P23564_157_S66_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_157_S66_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107468.ilPleArgu1.3.vg.paired.rmdup.clip.bam
MZLU107469	AHW5NGDSX2.3	UDP0058	ILLUMINA	../data/fastq_raw/P23564_158_S67_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_158_S67_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107469.ilPleArgu1.3.vg.paired.rmdup.clip.bam
MZLU107470	AHW5NGDSX2.3	UDP0059	ILLUMINA	../data/fastq_raw/P23564_159_S68_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_159_S68_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107470.ilPleArgu1.3.vg.paired.rmdup.clip.bam
MZLU107471	AHW5NGDSX2.3	UDP0060	ILLUMINA	../data/fastq_raw/P23564_160_S69_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_160_S69_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107471.ilPleArgu1.3.vg.paired.rmdup.clip.bam
MZLU107475	AHW5NGDSX2.3	UDP0064	ILLUMINA	../data/fastq_raw/P23564_164_S73_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_164_S73_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107475.ilPleArgu1.3.vg.paired.rmdup.clip.bam
MZLU107477	AHW5NGDSX2.3	UDP0066	ILLUMINA	../data/fastq_raw/P23564_166_S75_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_166_S75_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107477.ilPleArgu1.3.vg.paired.rmdup.clip.bam
MZLU107480	AHW5NGDSX2.3	UDP0069	ILLUMINA	../data/fastq_raw/P23564_169_S78_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_169_S78_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107480.ilPleArgu1.3.vg.paired.rmdup.clip.bam
MZLU107483	AHW5NGDSX2.3	UDP0072	ILLUMINA	../data/fastq_raw/P23564_172_S81_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_172_S81_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107483.ilPleArgu1.3.vg.paired.rmdup.clip.bam
MZLU107486	AHW5NGDSX2.3	UDP0075	ILLUMINA	../data/fastq_raw/P23564_175_S84_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_175_S84_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107486.ilPleArgu1.3.vg.paired.rmdup.clip.bam
MZLU107487	AHW5NGDSX2.3	UDP0076	ILLUMINA	../data/fastq_raw/P23564_176_S85_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_176_S85_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107487.ilPleArgu1.3.vg.paired.rmdup.clip.bam
PLAR0200	BHVYLHDSX3.1	UDP0337	ILLUMINA	../data/fastq_raw/P27468_149_S49_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_149_S49_L001_R2_001.fastq.gz	results/mapping/bams/PLAR0200.ilPleArgu1.3.vg.paired.rmdup.clip.bam
PLAR0202	BHVYLHDSX3.1	UDP0338	ILLUMINA	../data/fastq_raw/P27468_150_S50_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_150_S50_L001_R2_001.fastq.gz	results/mapping/bams/PLAR0202.ilPleArgu1.3.vg.paired.rmdup.clip.bam
PLAR0203	BHVYLHDSX3.1	UDP0339	ILLUMINA	../data/fastq_raw/P27468_151_S51_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_151_S51_L001_R2_001.fastq.gz	results/mapping/bams/PLAR0203.ilPleArgu1.3.vg.paired.rmdup.clip.bam
PLAR0208	BHVYLHDSX3.1	UDP0340	ILLUMINA	../data/fastq_raw/P27468_152_S52_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_152_S52_L001_R2_001.fastq.gz	results/mapping/bams/PLAR0208.ilPleArgu1.3.vg.paired.rmdup.clip.bam
PLAR0211	BHVYLHDSX3.1	UDP0342	ILLUMINA	../data/fastq_raw/P27468_154_S54_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_154_S54_L001_R2_001.fastq.gz	results/mapping/bams/PLAR0211.ilPleArgu1.3.vg.paired.rmdup.clip.bam
PLAR0217	BHVYLHDSX3.1	UDP0341	ILLUMINA	../data/fastq_raw/P27468_153_S53_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_153_S53_L001_R2_001.fastq.gz	results/mapping/bams/PLAR0217.ilPleArgu1.3.vg.paired.rmdup.clip.bam
PLAR0222	BHVYLHDSX3.1	UDP0343	ILLUMINA	../data/fastq_raw/P27468_155_S55_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_155_S55_L001_R2_001.fastq.gz	results/mapping/bams/PLAR0222.ilPleArgu1.3.vg.paired.rmdup.clip.bam
MZLU153040	BHVN22DSX2.2	030118	ILLUMINA	../data/fastq_raw/P23563_1001_S79_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1001_S79_L002_R2_001.fastq.gz	results/mapping/bams/MZLU153040.ilPleArgu1.3.vg.merged.rmdup.bam
MZLU153042	BHVN22DSX2.2	193121	ILLUMINA	../data/fastq_raw/P23563_1002_S80_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1002_S80_L002_R2_001.fastq.gz	results/mapping/bams/MZLU153042.ilPleArgu1.3.vg.merged.rmdup.bam
MZLU153045	BHVN22DSX2.2	194122	ILLUMINA	../data/fastq_raw/P23563_1003_S81_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1003_S81_L002_R2_001.fastq.gz	results/mapping/bams/MZLU153045.ilPleArgu1.3.vg.merged.rmdup.bam
MZLU153046	BHVN22DSX2.2	195123	ILLUMINA	../data/fastq_raw/P23563_1004_S82_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1004_S82_L002_R2_001.fastq.gz	results/mapping/bams/MZLU153046.ilPleArgu1.3.vg.merged.rmdup.bam
MZLU153048	BHVN22DSX2.2	172131	ILLUMINA	../data/fastq_raw/P23563_1041_S119_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1041_S119_L002_R2_001.fastq.gz	results/mapping/bams/MZLU153048.ilPleArgu1.3.vg.merged.rmdup.bam
MZLU153003	BHVN22DSX2.2	023158	ILLUMINA	../data/fastq_raw/P23563_1007_S85_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1007_S85_L002_R2_001.fastq.gz	results/mapping/bams/MZLU153003.ilPleArgu1.3.vg.merged.rmdup.bam
MZLU153166	BHVN22DSX2.2	201150	ILLUMINA	../data/fastq_raw/P23563_1008_S86_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1008_S86_L002_R2_001.fastq.gz	results/mapping/bams/MZLU153166.ilPleArgu1.3.vg.merged.rmdup.bam
MZLU153167	BHVN22DSX2.2	202183	ILLUMINA	../data/fastq_raw/P23563_1009_S87_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1009_S87_L002_R2_001.fastq.gz	results/mapping/bams/MZLU153167.ilPleArgu1.3.vg.merged.rmdup.bam
