sample	unit	lib	platform	fq1	fq2	bam
MZLU153168	BHVN22DSX2.2	205175	ILLUMINA	../data/fastq_raw/P23563_1012_S90_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1012_S90_L002_R2_001.fastq.gz	results/mapping/bams/MZLU153168.ilPleArgu1.3.vg.merged.rmdup.bam
MZLU153169	BHVN22DSX2.2	001089	ILLUMINA	../data/fastq_raw/P23563_1016_S94_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1016_S94_L002_R2_001.fastq.gz	results/mapping/bams/MZLU153169.ilPleArgu1.3.vg.merged.rmdup.bam
MZLU153170	BHVN22DSX2.2	012100	ILLUMINA	../data/fastq_raw/P23563_1021_S99_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1021_S99_L002_R2_001.fastq.gz	results/mapping/bams/MZLU153170.ilPleArgu1.3.vg.merged.rmdup.bam
MZLU152940	BHVN22DSX2.2	198126	ILLUMINA	../data/fastq_raw/P23563_1006_S84_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1006_S84_L002_R2_001.fastq.gz	results/mapping/bams/MZLU152940.ilPleArgu1.3.vg.merged.rmdup.bam
MZLU107454	AHW5NGDSX2.3	UDP0043	ILLUMINA	../data/fastq_raw/P23564_143_S52_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_143_S52_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107454.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
MZLU107455	AHW5NGDSX2.3	UDP0044	ILLUMINA	../data/fastq_raw/P23564_144_S53_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_144_S53_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107455.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
MZLU107456	AHW5NGDSX2.3	UDP0045	ILLUMINA	../data/fastq_raw/P23564_145_S54_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_145_S54_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107456.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
MZLU107457	AHW5NGDSX2.3	UDP0046	ILLUMINA	../data/fastq_raw/P23564_146_S55_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_146_S55_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107457.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
MZLU107458	AHW5NGDSX2.3	UDP0047	ILLUMINA	../data/fastq_raw/P23564_147_S56_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_147_S56_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107458.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
MZLU107460	AHW5NGDSX2.3	UDP0049	ILLUMINA	../data/fastq_raw/P23564_149_S58_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_149_S58_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107460.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
MZLU107461	AHW5NGDSX2.3	UDP0050	ILLUMINA	../data/fastq_raw/P23564_150_S59_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_150_S59_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107461.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
MZLU107462	AHW5NGDSX2.3	UDP0051	ILLUMINA	../data/fastq_raw/P23564_151_S60_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_151_S60_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107462.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
MZLU107463	AHW5NGDSX2.3	UDP0052	ILLUMINA	../data/fastq_raw/P23564_152_S61_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_152_S61_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107463.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
MZLU107464	AHW5NGDSX2.3	UDP0053	ILLUMINA	../data/fastq_raw/P23564_153_S62_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_153_S62_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107464.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
MZLU107465	AHW5NGDSX2.3	UDP0054	ILLUMINA	../data/fastq_raw/P23564_154_S63_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_154_S63_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107465.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
MZLU107466	AHW5NGDSX2.3	UDP0055	ILLUMINA	../data/fastq_raw/P23564_155_S64_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_155_S64_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107466.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
MZLU107497	AHW5NGDSX2.3	UDP0084	ILLUMINA	../data/fastq_raw/P23564_184_S93_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_184_S93_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107497.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
MZLU107498	AHW5NGDSX2.3	UDP0085	ILLUMINA	../data/fastq_raw/P23564_185_S94_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_185_S94_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107498.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
MZLU107499	AHW5NGDSX2.3	UDP0086	ILLUMINA	../data/fastq_raw/P23564_186_S95_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_186_S95_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107499.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
MZLU107500	AHW5NGDSX2.3	UDP0087	ILLUMINA	../data/fastq_raw/P23564_187_S96_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_187_S96_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107500.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
MZLU107501	AHW5NGDSX2.3	UDP0088	ILLUMINA	../data/fastq_raw/P23564_188_S97_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_188_S97_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107501.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
MZLU107503	AHW5NGDSX2.3	UDP0090	ILLUMINA	../data/fastq_raw/P23564_190_S99_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_190_S99_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107503.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
MZLU107504	AHW5NGDSX2.3	UDP0091	ILLUMINA	../data/fastq_raw/P23564_191_S100_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_191_S100_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107504.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
MZLU107505	AHW5NGDSX2.3	UDP0092	ILLUMINA	../data/fastq_raw/P23564_192_S101_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_192_S101_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107505.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
MZLU107506	AHW5NGDSX2.3	UDP0093	ILLUMINA	../data/fastq_raw/P23564_193_S102_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_193_S102_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107506.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
MZLU107507	AHW5NGDSX2.3	UDP0094	ILLUMINA	../data/fastq_raw/P23564_194_S103_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_194_S103_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107507.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
CYSE0078	BHVYLHDSX3.1	UDP0302	ILLUMINA	../data/fastq_raw/P27468_114_S14_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_114_S14_L001_R2_001.fastq.gz	results/mapping/bams/CYSE0078.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
CYSE0094	BHVYLHDSX3.1	UDP0304	ILLUMINA	../data/fastq_raw/P27468_116_S16_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_116_S16_L001_R2_001.fastq.gz	results/mapping/bams/CYSE0094.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
CYSE0096	BHVYLHDSX3.1	UDP0305	ILLUMINA	../data/fastq_raw/P27468_117_S17_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_117_S17_L001_R2_001.fastq.gz	results/mapping/bams/CYSE0096.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
CYSE0098	BHVYLHDSX3.1	UDP0306	ILLUMINA	../data/fastq_raw/P27468_118_S18_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_118_S18_L001_R2_001.fastq.gz	results/mapping/bams/CYSE0098.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
CYSE0116	BHVYLHDSX3.1	UDP0307	ILLUMINA	../data/fastq_raw/P27468_119_S19_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_119_S19_L001_R2_001.fastq.gz	results/mapping/bams/CYSE0116.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
CYSE0198	BHVYLHDSX3.1	UDP0308	ILLUMINA	../data/fastq_raw/P27468_120_S20_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_120_S20_L001_R2_001.fastq.gz	results/mapping/bams/CYSE0198.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
CYSE0199	BHVYLHDSX3.1	UDP0309	ILLUMINA	../data/fastq_raw/P27468_121_S21_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_121_S21_L001_R2_001.fastq.gz	results/mapping/bams/CYSE0199.ilCyaSemi1.1.vg.paired.rmdup.clip.bam
MZLU153221	BHVN22DSX2.2	208188	ILLUMINA	../data/fastq_raw/P23563_1015_S93_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1015_S93_L002_R2_001.fastq.gz	results/mapping/bams/MZLU153221.ilCyaSemi1.1.vg.merged.rmdup.bam
MZLU152765	BHVN22DSX2.2	070144	ILLUMINA	../data/fastq_raw/P23563_1026_S104_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1026_S104_L002_R2_001.fastq.gz	results/mapping/bams/MZLU152765.ilCyaSemi1.1.vg.merged.rmdup.bam
MZLU152766	BHVN22DSX2.2	026114	ILLUMINA	../data/fastq_raw/P23563_1028_S106_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1028_S106_L002_R2_001.fastq.gz	results/mapping/bams/MZLU152766.ilCyaSemi1.1.vg.merged.rmdup.bam
MZLU153206	BHVN22DSX2.2	207139	ILLUMINA	../data/fastq_raw/P23563_1014_S92_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1014_S92_L002_R2_001.fastq.gz	results/mapping/bams/MZLU153206.ilCyaSemi1.1.vg.merged.rmdup.bam
MZLU153204	BHVN22DSX2.2	003091	ILLUMINA	../data/fastq_raw/P23563_1018_S96_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1018_S96_L002_R2_001.fastq.gz	results/mapping/bams/MZLU153204.ilCyaSemi1.1.vg.merged.rmdup.bam
MZLU153205	BHVN22DSX2.2	008096	ILLUMINA	../data/fastq_raw/P23563_1020_S98_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1020_S98_L002_R2_001.fastq.gz	results/mapping/bams/MZLU153205.ilCyaSemi1.1.vg.merged.rmdup.bam
MZLU152770	BHVN22DSX2.2	019107	ILLUMINA	../data/fastq_raw/P23563_1024_S102_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1024_S102_L002_R2_001.fastq.gz	results/mapping/bams/MZLU152770.ilCyaSemi1.1.vg.merged.rmdup.bam
MZLU153248	BHVN22DSX2.2	021130	ILLUMINA	../data/fastq_raw/P23563_1025_S103_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1025_S103_L002_R2_001.fastq.gz	results/mapping/bams/MZLU153248.ilCyaSemi1.1.vg.merged.rmdup.bam
MZLU153216	BHVN22DSX2.2	093148	ILLUMINA	../data/fastq_raw/P23563_1027_S105_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1027_S105_L002_R2_001.fastq.gz	results/mapping/bams/MZLU153216.ilCyaSemi1.1.vg.merged.rmdup.bam
MZLU153251	BHVN22DSX2.2	028116	ILLUMINA	../data/fastq_raw/P23563_1029_S107_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1029_S107_L002_R2_001.fastq.gz	results/mapping/bams/MZLU153251.ilCyaSemi1.1.vg.merged.rmdup.bam
MZLU152769	BHVN22DSX2.2	032120	ILLUMINA	../data/fastq_raw/P23563_1030_S108_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1030_S108_L002_R2_001.fastq.gz	results/mapping/bams/MZLU152769.ilCyaSemi1.1.vg.merged.rmdup.bam
MZLU153250	BHVN22DSX2.2	036137	ILLUMINA	../data/fastq_raw/P23563_1031_S109_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1031_S109_L002_R2_001.fastq.gz	results/mapping/bams/MZLU153250.ilCyaSemi1.1.vg.merged.rmdup.bam
MZLU153247	BHVN22DSX2.2	043143	ILLUMINA	../data/fastq_raw/P23563_1032_S110_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1032_S110_L002_R2_001.fastq.gz	results/mapping/bams/MZLU153247.ilCyaSemi1.1.vg.merged.rmdup.bam
MZLU153246	BHVN22DSX2.2	052142	ILLUMINA	../data/fastq_raw/P23563_1033_S111_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1033_S111_L002_R2_001.fastq.gz	results/mapping/bams/MZLU153246.ilCyaSemi1.1.vg.merged.rmdup.bam
PI033-fragmented	AHVF57DSXY.4	UD266	ILLUMINA	results/preprocessing/ngsngs/PI033/PI033-dam_R1.fq.gz	results/preprocessing/ngsngs/PI033/PI033-dam_R2.fq.gz	results/mapping/bams/PI033-fragmented.ilPolIcar1.1.vg.merged.rmdup.bam
PI034-fragmented	AHVF57DSXY.4	UD267	ILLUMINA	results/preprocessing/ngsngs/PI034/PI034-dam_R1.fq.gz	results/preprocessing/ngsngs/PI034/PI034-dam_R2.fq.gz	results/mapping/bams/PI034-fragmented.ilPolIcar1.1.vg.merged.rmdup.bam
PI035-fragmented	AHVF57DSXY.4	UD268	ILLUMINA	results/preprocessing/ngsngs/PI035/PI035-dam_R1.fq.gz	results/preprocessing/ngsngs/PI035/PI035-dam_R2.fq.gz	results/mapping/bams/PI035-fragmented.ilPolIcar1.1.vg.merged.rmdup.bam
PI036-fragmented	AHVF57DSXY.4	UD269	ILLUMINA	results/preprocessing/ngsngs/PI036/PI036-dam_R1.fq.gz	results/preprocessing/ngsngs/PI036/PI036-dam_R2.fq.gz	results/mapping/bams/PI036-fragmented.ilPolIcar1.1.vg.merged.rmdup.bam
PI205-fragmented	AHVF57DSXY.4	UD284	ILLUMINA	results/preprocessing/ngsngs/PI205/PI205-dam_R1.fq.gz	results/preprocessing/ngsngs/PI205/PI205-dam_R2.fq.gz	results/mapping/bams/PI205-fragmented.ilPolIcar1.1.vg.merged.rmdup.bam
PI206-fragmented	AHVF57DSXY.4	UD285	ILLUMINA	results/preprocessing/ngsngs/PI206/PI206-dam_R1.fq.gz	results/preprocessing/ngsngs/PI206/PI206-dam_R2.fq.gz	results/mapping/bams/PI206-fragmented.ilPolIcar1.1.vg.merged.rmdup.bam
PI207-fragmented	AHVF57DSXY.4	UD286	ILLUMINA	results/preprocessing/ngsngs/PI207/PI207-dam_R1.fq.gz	results/preprocessing/ngsngs/PI207/PI207-dam_R2.fq.gz	results/mapping/bams/PI207-fragmented.ilPolIcar1.1.vg.merged.rmdup.bam
PI208-fragmented	AHVF57DSXY.4	UD287	ILLUMINA	results/preprocessing/ngsngs/PI208/PI208-dam_R1.fq.gz	results/preprocessing/ngsngs/PI208/PI208-dam_R2.fq.gz	results/mapping/bams/PI208-fragmented.ilPolIcar1.1.vg.merged.rmdup.bam
PI419-fragmented	AHW3HFDSXY.2	UD255	ILLUMINA	results/preprocessing/ngsngs/PI419/PI419-dam_R1.fq.gz	results/preprocessing/ngsngs/PI419/PI419-dam_R2.fq.gz	results/mapping/bams/PI419-fragmented.ilPolIcar1.1.vg.merged.rmdup.bam
PI420-fragmented	AHW3HFDSXY.2	UD256	ILLUMINA	results/preprocessing/ngsngs/PI420/PI420-dam_R1.fq.gz	results/preprocessing/ngsngs/PI420/PI420-dam_R2.fq.gz	results/mapping/bams/PI420-fragmented.ilPolIcar1.1.vg.merged.rmdup.bam
PI421-fragmented	AHW3HFDSXY.2	UD257	ILLUMINA	results/preprocessing/ngsngs/PI421/PI421-dam_R1.fq.gz	results/preprocessing/ngsngs/PI421/PI421-dam_R2.fq.gz	results/mapping/bams/PI421-fragmented.ilPolIcar1.1.vg.merged.rmdup.bam
PI422-fragmented	AHW3HFDSXY.2	UD258	ILLUMINA	results/preprocessing/ngsngs/PI422/PI422-dam_R1.fq.gz	results/preprocessing/ngsngs/PI422/PI422-dam_R2.fq.gz	results/mapping/bams/PI422-fragmented.ilPolIcar1.1.vg.merged.rmdup.bam
MZLU166851	BHVN22DSX2.2	206174	ILLUMINA	../data/fastq_raw/P23563_1013_S91_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1013_S91_L002_R2_001.fastq.gz	results/mapping/bams/MZLU166851.ilAriAges2.1.vg.merged.rmdup.bam
MZLU107489	AHW5NGDSX2.3	UDP0078	ILLUMINA	../data/fastq_raw/P23564_178_S87_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_178_S87_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107489.ilAriAges2.1.vg.paired.rmdup.clip.bam
MZLU166853	BHVN22DSX2.2	006094	ILLUMINA	../data/fastq_raw/P23563_1019_S97_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1019_S97_L002_R2_001.fastq.gz	results/mapping/bams/MZLU166853.ilAgrOpti3.hap1.1.vg.merged.rmdup.bam
MZLU107492	AHW5NGDSX2.3	UDP0081	ILLUMINA	../data/fastq_raw/P23564_181_S90_L003_R1_001.fastq.gz	../data/fastq_raw/P23564_181_S90_L003_R2_001.fastq.gz	results/mapping/bams/MZLU107492.ilAgrOpti3.hap1.1.vg.paired.rmdup.clip.bam
CUMI0012	AHJ3LGDSX7.12	UDP0010	ILLUMINA	../data/fastq_raw/P29363_110_S10_L001_R1_001.fastq.gz	../data/fastq_raw/P29363_110_S10_L001_R2_001.fastq.gz	results/mapping/bams/CUMI0012.ilCupMini1.1.vg.paired.rmdup.clip.bam
MZLU166852	BHVN22DSX2.2	015092	ILLUMINA	../data/fastq_raw/P23563_1022_S100_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1022_S100_L002_R2_001.fastq.gz	results/mapping/bams/MZLU166852.ilCupMini1.1.vg.merged.rmdup.bam
EK001	BHVN22DSX2.2	EK001	ILLUMINA	../data/fastq_raw/P23563_1036_S114_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1036_S114_L002_R2_001.fastq.gz	results/mapping/bams/EK001.ilPleArgu1.3-pargyrognomon.vg.merged.rmdup.bam
EK006	BHVN22DSX2.2	EK006	ILLUMINA	../data/fastq_raw/P23563_1037_S115_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1037_S115_L002_R2_001.fastq.gz	results/mapping/bams/EK006.ilPleArgu1.3-pargyrognomon.vg.merged.rmdup.bam
MZLU174140	AH5L5TDSX2.2	011099	ILLUMINA	../data/fastq_raw/P21013_1036_S43_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1036_S43_L002_R2_001.fastq.gz	results/mapping/bams/MZLU174140.ilScoOrio1.hap1.1.vg.merged.rmdup.bam
MZLU174142	AH5L5TDSX2.2	025113	ILLUMINA	../data/fastq_raw/P21013_1042_S49_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1042_S49_L002_R2_001.fastq.gz	results/mapping/bams/MZLU174142.ilScoOrio1.hap1.1.vg.merged.rmdup.bam
